이름,지역,클래스,카테고리,세부분류
보경사부도,경상북도,장소,관광지,보물
원진국사비,경상북도,장소,관광지,보물
괘릉석상,경상북도,장소,관광지,보물
구산리삼층석탑,경상북도,장소,관광지,보물
원원사지삼층석탑,경상북도,장소,관광지,보물
마애여래좌상,경상북도,장소,관광지,보물
현오국탑비,경기도,장소,관광지,보물
진각국사조탑비,경기도,장소,관광지,보물
서정리구층석탑,충청남도,장소,관광지,보물
만복사지당간지주,전라북도,장소,관광지,보물
석불입상,전라북도,장소,관광지,보물
나주동문외석당간,전라남도,장소,관광지,보물
개심사지오층석탑,경상북도,장소,관광지,보물
조탑동오층전탑,경상북도,장소,관광지,보물
안기동석북좌상,경상북도,장소,관광지,보물
효현리삼층석탑,경상북도,장소,관광지,보물
서악리귀부,경상북도,장소,관광지,보물
단속사지삼층석탑,경상남도,장소,관광지,보물
탑산사동종,전라남도,장소,관광지,보물
창리삼층석탑,경기도,장소,관광지,보물
동오층석탑,광주광역시,장소,관광지,보물
옥동삼층석탑,경상북도,장소,관광지,보물
아미타불조상사적비,경상북도,장소,관광지,보물
무장사지삼층석탑,경상북도,장소,관광지,보물
삼랑사지당간지주,경상북도,장소,관광지,보물
보림사동부도,전라남도,장소,관광지,보물
쌍봉사철감선사탑비,전라남도,장소,관광지,보물
전등사대웅전,인천광역시,장소,관광지,보물
신륵사조사당,경기도,장소,관광지,보물
청양석조삼존불상,충청남도,장소,관광지,보물
칠불암마애석불,경상북도,장소,관광지,보물
관룡사대웅전,경상남도,장소,관광지,보물
마애석가여래좌상,서울특별시,장소,관광지,보물
석조미륵보살입상,충청남도,장소,관광지,보물
성문기비,경상남도,장소,관광지,보물
발산리석등,전라북도,장소,관광지,보물
당간지주,서울특별시,장소,관광지,보물
마애불좌상,대구광역시,장소,관광지,보물
비로자나불좌상,대구광역시,장소,관광지,보물
석조석가여래좌상,경상북도,장소,관광지,보물
동화사금당암삼층석탑,대구광역시,장소,관광지,보물
범어사삼층석탑,부산광역시,장소,관광지,보물
대각국사비,경상북도,장소,관광지,보물
갑사부도,충청남도,장소,관광지,보물
갑사철당간및지주,충청남도,장소,관광지,보물
인서사조륜청정탑,전라남도,장소,관광지,보물
태안사일주문,전라남도,장소,관광지,보물
벌교홍교,전라남도,장소,관광지,보물
안동석빙고,경상북도,장소,관광지,보물
천곡사지칠층석탑,전라북도,장소,관광지,보물
